500	499.882062	500.569500	492.323384	505.725430
1000	1000.303903	999.900144	986.087880	1011.596545
1500	1499.615527	1499.579378	1478.771514	1518.219366
2000	1999.960220	2000.283833	1972.061826	2026.291085
2500	2499.270562	2499.292545	2465.548276	2533.106455
3000	3000.573235	3000.762034	2957.583093	3040.442946
3500	3500.950996	3501.960197	3454.972089	3545.358262
4000	4000.368163	4001.093215	3942.474190	4050.956767
4500	4499.991554	4500.110548	4440.993297	4562.083822
5000	5001.101402	5001.230229	4929.468452	5074.670711
5500	5501.035854	5501.365089	5421.814015	5575.681790
6000	6000.761462	6001.375111	5917.929901	6079.449385
6500	6499.838009	6499.273824	6414.739760	6584.246309
7000	6999.477339	6998.976628	6907.257784	7094.295279
7500	7499.188973	7500.169693	7397.754588	7603.229015
8000	8003.872939	8000.875456	7888.817131	8118.628808
8500	8499.431370	8498.877544	8370.033700	8623.663656
9000	8997.608618	8998.631273	8862.377422	9120.316713
9500	9499.514012	9499.817655	9359.349488	9627.097030
10000	9998.788447	9998.401079	9855.436530	10137.053529
10500	10500.775651	10499.342678	10346.317179	10655.727057
11000	11000.546906	10996.507955	10846.543402	11145.883270
11500	11502.517276	11503.177810	11338.533287	11669.493672
12000	12004.313164	12003.116059	11823.104398	12183.023893
12500	12502.067086	12499.478867	12324.566647	12689.290363
13000	12999.691873	12998.080363	12789.392149	13184.845311
13500	13502.047206	13496.371919	13315.055917	13709.705279
14000	14002.595303	14003.241355	13797.679491	14201.895058
14500	14498.717304	14497.196774	14275.820517	14709.329806
15000	14995.358371	14996.515158	14775.726595	15227.917224
15500	15500.450514	15501.224365	15260.880479	15742.532393
16000	16002.317837	16000.719437	15763.457044	16260.342283
16500	16497.983984	16496.752057	16233.386042	16758.857504
17000	16993.050994	16996.980871	16733.845880	17255.808231
17500	17502.434156	17501.320097	17232.889535	17768.304965
18000	18008.172994	18006.665233	17721.046233	18279.032052
18500	18500.958467	18503.326601	18193.809494	18796.741949
19000	18992.176767	18996.375402	18690.005415	19279.364184
19500	19497.291447	19501.434955	19201.699413	19786.669689
20000	19998.366425	19995.428781	19686.604231	20337.844588
20500	20505.668436	20508.277289	20172.591664	20833.143105
21000	20995.279116	20990.820612	20641.681069	21343.882814
21500	21500.091236	21499.147514	21157.304042	21844.481718
22000	21995.604269	21993.099088	21596.006368	22411.832717
22500	22498.237423	22498.458249	22100.636277	22857.683358
23000	23000.040439	23007.680199	22605.401213	23361.720105
23500	23516.818173	23512.224864	23105.714897	23924.770475
24000	23999.428959	24002.481292	23600.662040	24392.229993
24500	24501.369219	24498.937561	24076.214838	24942.019751
25000	25005.411512	25010.908430	24583.910046	25406.845253
25500	25508.588661	25506.156857	25089.334034	25948.474800
26000	25985.962388	25982.623391	25553.660515	26398.056453
26500	26502.435651	26498.541282	26007.058891	26994.831529
27000	27010.540024	27010.422966	26528.807300	27511.986218
27500	27506.656243	27506.625838	27031.234655	27979.666162
28000	28008.837669	28012.798631	27511.986218	28529.403456
28500	28496.666737	28500.904580	27974.150593	28998.128342
29000	29007.868663	29003.999691	28461.089250	29510.915466
29500	29513.872925	29510.915466	28974.663963	30096.671171
30000	30004.034900	30002.779796	29432.363960	30522.749131
